Timestamp,PV-Plant1,PV-Plant2,Industry1,Industry2,Industry3,Resident1,Resident3,Resident4,Resident5,Resident6
2017-02-10T12:00:00Z,5.01041669999904,2.96875,-37.171875,-0.425781199999619,-165.75,-0.41015625,0.255859370000053,1.7490234400001992,-0.510131840000213,-0.010009760000684997
2017-02-10T13:00:00Z,1.4375,1.0390625,-30.375,-1.32421880000038,-175.75,-0.388671869999598,0.07421875999989401,-0.07617187999949199,-0.405151369999658,-0.020019539999794
2017-02-10T14:00:00Z,0.638020800000959,0.5390625,-35.84375,-3.36458330000096,-155.75,-0.436523439999291,-0.099609379999947,-0.573437500001092,-1.03234863000034,-0.010009760000229996
2017-02-10T15:00:00Z,0.31315099999847,0.277343800000381,-29.640625,-3.28190109999923,-127,-0.46386719000111,-0.23046875,-2.59518228999968,-0.439941399999952,-0.389892570000029
2017-02-10T16:00:00Z,0.01367190000019,0.03125,-26.984375,-4.2890625,-128.5,-0.5703125,-0.284179680000307,-2.09993490000033,-1.02502441999968,-0.465087889999268
2017-02-10T17:00:00Z,0,0,-26.109375,-3.43554679999943,-107.5,-0.689453119999598,-1.05078125,-0.910937499999818,-0.814819330000319,-0.46997070999987
2017-02-10T18:00:00Z,0,0,-24.09375,-2.71289070000057,-91.5,-0.875,-0.810546879999947,-1.18085936999978,-0.47265625,-0.890014650000012
2017-02-10T19:00:00Z,0,0,-18.21875,-2.52539059999981,-84.5,-0.865234380000402,-0.58984375,-1.16015625,-0.819946289999734,-0.679931640000177
2017-02-10T20:00:00Z,0,0,-19.015625,-2.28515619999962,-66.5,-0.8203125,-0.58984375,-0.970214850000048,-0.560058600000048,-0.685058590000153
2017-02-10T21:00:00Z,0,0,-19.015625,-2.3671875,-60.75,-0.48046875,-0.73046875,-0.964355470000555,-0.637573240000165,-0.63500976999967
2017-02-10T22:00:00Z,0,0,-18.921875,-1.99414070000057,-59.25,-0.463867189999291,-0.325195309999799,-1.1455078099998,-0.439941409999847,-0.619995110000673
2017-02-10T23:00:00Z,0,0,-25.65625,-1.77929679999943,-58.25,-0.446289060000709,-0.298828129999947,-1.05981444999998,-0.450195310000254,-0.598307289999866
2017-02-11T00:00:00Z,0,0,-27.390625,-1.7890625,-59.25,-0.374023439999291,-0.220703120000053,-0.791050499999983,-0.22741698999971,-0.621663420000004
2017-02-11T01:00:00Z,0,0,-21,-1.78125,-60,-0.424804680000307,-0.21875,-0.986537390000194,-0.209960940000201,-0.619995109999763
2017-02-11T02:00:00Z,0,0,-16.5,-1.74023440000019,-59.25,-0.395507819999693,-0.2109375,-1.08740235000005,-0.189941399999952,-0.415039069999693
2017-02-11T03:00:00Z,0,0,-18.125,-1.76953130000038,-59.25,-0.424804680000307,-0.174804690000201,-0.893717439999818,-0.259887700000036,-0.375
2017-02-11T04:00:00Z,0,0,-14.296875,-1.75976559999981,-60,-0.490234380000402,-0.200195309999799,-0.891438810000181,-0.192382809999799,-0.439941399999952
2017-02-11T05:00:00Z,0,0,-22.15625,-2.1796875,-59.25,-0.5,-0.1953125,-1.13802082999973,-0.350097660000301,-0.670043950000036
2017-02-11T06:00:00Z,0,0,-21.453125,-1.765625,-59,-0.5,-0.1796875,-1.93693033999989,-0.330078120000053,-0.295043940000141
2017-02-11T07:00:00Z,0.109375,0.089843699999619,-15.6875,-1.68554690000019,-59.75,-0.69921875,-0.594726560000254,-0.94018554000013,-0.297729499999605,-0.234985349999988
2017-02-11T08:00:00Z,0.386718800000381,0.3515625,-18.453125,-1.42578119999962,-58.75,-0.880859369999598,-1.32519531999969,-0.869628909999847,-0.58984375,-0.104980470000555
2017-02-11T09:00:00Z,0.763671799999429,0.605468800000381,-20.375,-1.203125,-58.5,-0.58984375,-0.604492180000307,-1.307756700000029,-0.429809570000089,-0.10998535999942699
2017-02-11T10:00:00Z,1.48632820000057,1.02734369999962,-25.140625,-0.36523440000019,-57.5,-1.87988281999969,-0.310546879999947,-0.252790169999571,-0.212890620000053,-0.024902340000153
2017-02-11T11:00:00Z,1.87109369999962,1.35546880000038,-23,-0.519531199999619,-56.75,-1.46484375,-0.174804689999746,-0.22949219000020094,-0.247436520000065,-0.00512695999987
2017-02-11T12:00:00Z,2.1953125,1.6875,-14.625,-0.205078200000571,-56.75,-1.11035156000071,0.02441405999979901,-0.49511719000020105,-0.334716800000024,-0.010009750000109001
